"post.prov","group","elpd","prov"
"ON","4",-0.965316546334927,"IPU"
"ON","5",-0.96335327354691,"IPU"
"ON","6",-0.962032007502396,"IPU"
"ON","7",-0.963818385736594,"IPU"
"ON","8",-0.957222029456249,"IPU"
"ON","9",-0.950598604867377,"IPU"
"QC","1",-0.948315255536289,"IPU"
"QC","10",-0.95452372069355,"IPU"
"QC","2",-0.954418009364921,"IPU"
"QC","3",-0.954973122399693,"IPU"
"QC","4",-0.955812255686671,"IPU"
"QC","5",-0.946897122185837,"IPU"
"QC","6",-0.951264991842549,"IPU"
"QC","7",-0.951803652798007,"IPU"
"QC","8",-0.947409233611839,"IPU"
"QC","9",-0.949400073249096,"IPU"
"AB","1",-0.913834747700496,"NB2"
"AB","10",-0.879537358944521,"NB2"
"AB","2",-0.912201789239536,"NB2"
"AB","3",-0.890515766746038,"NB2"
"AB","4",-0.913701548233288,"NB2"
"AB","5",-0.913293617495824,"NB2"
"AB","6",-0.901620686260044,"NB2"
"AB","7",-0.919866919644344,"NB2"
"AB","8",-0.916155909688536,"NB2"
"AB","9",-0.915459114791486,"NB2"
"IN","1",-0.884710708352152,"NB2"
"IN","10",-0.880533324280825,"NB2"
"IN","2",-0.876213088137674,"NB2"
"IN","3",-0.87807963333039,"NB2"
"IN","4",-0.879377104495066,"NB2"
"IN","5",-0.87709609541275,"NB2"
"IN","6",-0.877369017152137,"NB2"
"IN","7",-0.883346797182382,"NB2"
"IN","8",-0.866864354666814,"NB2"
"IN","9",-0.877636697020938,"NB2"
"IPU","1",-1.14118603863044,"NB2"
"IPU","10",-1.1426791521985,"NB2"
"IPU","2",-1.14005076008084,"NB2"
"IPU","3",-1.13781869541743,"NB2"
"IPU","4",-1.15070115792798,"NB2"
"IPU","5",-1.14817970065354,"NB2"
"IPU","6",-1.14314334749618,"NB2"
"IPU","7",-1.14814546372742,"NB2"
"IPU","8",-1.14569193988174,"NB2"
"IPU","9",-1.14042039285112,"NB2"
"ON","1",-0.80287894289425,"NB2"
"ON","10",-0.80792279903203,"NB2"
"ON","2",-0.806819794727174,"NB2"
"ON","3",-0.806453487104078,"NB2"
"ON","4",-0.809174912400979,"NB2"
"ON","5",-0.810478791413595,"NB2"
"ON","6",-0.809114407520109,"NB2"
"ON","7",-0.807052112611618,"NB2"
"ON","8",-0.805148903810812,"NB2"
"ON","9",-0.791420075989926,"NB2"
"QC","1",-0.762947621392676,"NB2"
"QC","10",-0.761883106164135,"NB2"
"QC","2",-0.76362412094859,"NB2"
"QC","3",-0.76392820889831,"NB2"
"QC","4",-0.767601656957895,"NB2"
"QC","5",-0.759747360304619,"NB2"
"QC","6",-0.765163184708769,"NB2"
"QC","7",-0.761801107615208,"NB2"
"QC","8",-0.759873202808672,"NB2"
"QC","9",-0.762482480328738,"NB2"
"AB","1",-0.874109710025046,"ON"
