"prov.orig","prov.comp","temp","cup","elpd"
"QC","IPU",20,"107",-6.09387852382859
"IN","NB2",20,"107",-11.3180820697063
"IPU","NB2",20,"107",-10.0182908154416
"NB2","NB2",20,"107",-6.47568743156548
"ON","NB2",20,"107",-10.5774194091058
"QC","NB2",20,"107",-5.91562114433948
"IN","ON",20,"107",-9.28480479848604
"IPU","ON",20,"107",-8.11806662587622
"NB2","ON",20,"107",-6.0613168596099
"ON","ON",20,"107",-5.12174825123841
"QC","ON",20,"107",-4.67773779472684
"IN","QC",20,"107",-10.995217773588
"IPU","QC",20,"107",-9.73555612949984
"NB2","QC",20,"107",-6.48303453034253
"ON","QC",20,"107",-10.0603558222294
"QC","QC",20,"107",-3.43778318261004
"IPU","AB",25,"107",-4.43983035808603
"QC","AB",25,"107",-4.33183561229363
"IPU","IN",25,"107",-3.25275170047388
"QC","IN",25,"107",-4.76011869391922
"IPU","IPU",25,"107",-3.99703730826539
"QC","IPU",25,"107",-4.57328169020426
"IPU","NB2",25,"107",-13.7095739731037
"QC","NB2",25,"107",-10.6886021092772
"IPU","ON",25,"107",-13.1097586124194
"QC","ON",25,"107",-9.20251384122175
"IPU","QC",25,"107",-12.0066069801247
"QC","QC",25,"107",-5.62925380970697
"IN","AB",30,"107",-5.93621548475537
"IPU","AB",30,"107",-5.17879099687056
"NB2","AB",30,"107",-5.44301504035642
"ON","AB",30,"107",-6.28045465027796
"QC","AB",30,"107",-4.6417763246211
"IN","IN",30,"107",-4.44802289075126
"IPU","IN",30,"107",-3.39097846247753
"NB2","IN",30,"107",-5.09778241943452
"ON","IN",30,"107",-10.6588781785867
"QC","IN",30,"107",-3.39444759797964
"IN","IPU",30,"107",-4.60015562852022
"IPU","IPU",30,"107",-2.94466194915856
"NB2","IPU",30,"107",-5.83863224393914
"ON","IPU",30,"107",-7.84673224119911
"QC","IPU",30,"107",-3.53317813973796
"IN","NB2",30,"107",-6.18450910745599
"IPU","NB2",30,"107",-10.1080156112998
"NB2","NB2",30,"107",-4.73263203116119
"ON","NB2",30,"107",-6.10105126481879
"QC","NB2",30,"107",-7.037947735793
"IN","ON",30,"107",-5.86306164166199
"IPU","ON",30,"107",-8.75561133558678
"NB2","ON",30,"107",-7.73074773329859
"ON","ON",30,"107",-4.81568102285742
"QC","ON",30,"107",-5.95890064524042
"IN","QC",30,"107",-5.65200432360067
"IPU","QC",30,"107",-8.17444526043586
"NB2","QC",30,"107",-7.39821767313332
"ON","QC",30,"107",-5.68558118703342
"QC","QC",30,"107",-2.96690164562455
"NB2","AB",35,"107",-5.40593836530637
"ON","AB",35,"107",-8.38375585802572
"QC","AB",35,"107",-5.66178944569371
"NB2","IN",35,"107",-3.40056609096129
"ON","IN",35,"107",-7.27373205418981
"QC","IN",35,"107",-4.3711093036898
"NB2","IPU",35,"107",-4.23809039669003
"ON","IPU",35,"107",-10.0012526433599
"QC","IPU",35,"107",-5.22806750295028
"NB2","NB2",35,"107",-5.7865674157802
"ON","NB2",35,"107",-9.23153680238736
"QC","NB2",35,"107",-13.9512925320317
"NB2","ON",35,"107",-6.07614840736757
"ON","ON",35,"107",-7.27588715692222
"QC","ON",35,"107",-7.57482691264863
"NB2","QC",35,"107",-6.64155091071049
"ON","QC",35,"107",-7.24278230743274
"QC","QC",35,"107",-5.2068348907024
"IPU","AB",5,"108",-15.898941341467
"IPU","IN",5,"108",-35.4693363933899
"IPU","IPU",5,"108",-13.2830031353447
"IPU","NB2",5,"108",-47.1149227083788
"IPU","ON",5,"108",-75.8950334269108
"IPU","QC",5,"108",-66.6004603292123
"NB2","AB",10,"108",-6.04522027673011
"ON","AB",10,"108",-5.4766608672127
"QC","AB",10,"108",-5.32903144979658
"NB2","IN",10,"108",-11.5512473714772
"ON","IN",10,"108",-7.46008182250868
"QC","IN",10,"108",-8.10189104236721
"NB2","IPU",10,"108",-8.83916151908548
"ON","IPU",10,"108",-4.54723464478049
"QC","IPU",10,"108",-4.66532551204924
"NB2","NB2",10,"108",-4.85645912573854
"ON","NB2",10,"108",-6.65066199973894
"QC","NB2",10,"108",-6.31722523526073
"NB2","ON",10,"108",-7.31954926661368
"ON","ON",10,"108",-3.45182049874583
"QC","ON",10,"108",-6.28230829809915
"NB2","QC",10,"108",-6.58297478364131
"ON","QC",10,"108",-6.92714179346571
"QC","QC",10,"108",-3.08024173918222
"IPU","AB",15,"108",-7.39207781869608
"IPU","IN",15,"108",-6.86235556427231
"IPU","IPU",15,"108",-4.95872306220955
"IPU","NB2",15,"108",-16.8510465069459
"IPU","ON",15,"108",-18.5814555732833
"IPU","QC",15,"108",-17.8717171778155
"IN","AB",20,"108",-5.5016396667069
"IPU","AB",20,"108",-5.78894519426787
"NB2","AB",20,"108",-6.46380344378549
"ON","AB",20,"108",-5.40139936915938
"QC","AB",20,"108",-6.3259955228337
"IN","IN",20,"108",-3.77131754168905
"IPU","IN",20,"108",-4.43793308171829
"NB2","IN",20,"108",-14.9852947249989
"ON","IN",20,"108",-8.08640976615483
"QC","IN",20,"108",-16.0928194026046
"IN","IPU",20,"108",-5.03648194196138
"IPU","IPU",20,"108",-3.51161792287111
"NB2","IPU",20,"108",-6.19779905520554
"ON","IPU",20,"108",-4.30060970727452
"QC","IPU",20,"108",-8.29866878986867
"IN","NB2",20,"108",-9.28806095455743
"IPU","NB2",20,"108",-11.40018504034
"NB2","NB2",20,"108",-4.69479267179678
"ON","NB2",20,"108",-7.03236199828381
"QC","NB2",20,"108",-6.00057921272873
"IN","ON",20,"108",-7.5759117676428
"IPU","ON",20,"108",-9.25353114679812
"NB2","ON",20,"108",-4.55286168623491
"ON","ON",20,"108",-3.38228362623329
"QC","ON",20,"108",-5.18483943834114
"IN","QC",20,"108",-8.61911993631262
"IPU","QC",20,"108",-11.0441362891722
"NB2","QC",20,"108",-4.99509606248569
"ON","QC",20,"108",-6.62702234395367
"QC","QC",20,"108",-5.27568613784591
"IPU","AB",25,"108",-3.49668794386413
"QC","AB",25,"108",-4.7224663759674
"IPU","IN",25,"108",-2.20816005016069
"QC","IN",25,"108",-8.82077097694058
"IPU","IPU",25,"108",-2.08171452425996
"QC","IPU",25,"108",-4.97606238316729
"IPU","NB2",25,"108",-11.7402240719549
"QC","NB2",25,"108",-4.60691184757058
"IPU","ON",25,"108",-9.97289023651354
"QC","ON",25,"108",-4.10454466949441
"IPU","QC",25,"108",-9.48543971701434
"QC","QC",25,"108",-2.52731537548246
"IN","AB",30,"108",-6.23970644139698
"IPU","AB",30,"108",-4.96361790820949
"NB2","AB",30,"108",-5.93138520599272
"ON","AB",30,"108",-5.29967114438592
"QC","AB",30,"108",-5.95531860155618
"IN","IN",30,"108",-4.18537640830261
"IPU","IN",30,"108",-3.68025804740617
"NB2","IN",30,"108",-10.4705993582169
"ON","IN",30,"108",-6.90079928432573
"QC","IN",30,"108",-9.69620391584258
"IN","IPU",30,"108",-5.43005423433116
"IPU","IPU",30,"108",-2.63766836471333
"NB2","IPU",30,"108",-7.5667561729699
"ON","IPU",30,"108",-4.9798778454647
"QC","IPU",30,"108",-6.34602132574612
"IN","NB2",30,"108",-4.91557482856353
"IPU","NB2",30,"108",-7.1814565768533
"NB2","NB2",30,"108",-4.95681109296456
"ON","NB2",30,"108",-5.414078197133
"QC","NB2",30,"108",-6.33250168730232
"IN","ON",30,"108",-4.51159287333106
"IPU","ON",30,"108",-6.37467025207974
"NB2","ON",30,"108",-5.59208369928393
"ON","ON",30,"108",-4.26086694296484
"QC","ON",30,"108",-5.7626737741374
"IN","QC",30,"108",-4.52255628910689
"IPU","QC",30,"108",-5.91639904086964
"NB2","QC",30,"108",-6.03302265073876
"ON","QC",30,"108",-5.0729895663432
"QC","QC",30,"108",-5.42826235531068
"NB2","AB",35,"108",-7.6463264694391
"ON","AB",35,"108",-8.93158892851983
"QC","AB",35,"108",-5.56069958978488
"NB2","IN",35,"108",-12.9153334418142
"ON","IN",35,"108",-11.1405784694378
"QC","IN",35,"108",-4.40939849771544
"NB2","IPU",35,"108",-11.9182428425025
"ON","IPU",35,"108",-13.1475146023215
"QC","IPU",35,"108",-4.79132567539686
"NB2","NB2",35,"108",-4.68703623438735
"ON","NB2",35,"108",-6.64498283538097
"QC","NB2",35,"108",-9.08230620307814
"NB2","ON",35,"108",-5.52904404289402
"ON","ON",35,"108",-9.39643192745048
"QC","ON",35,"108",-5.50742312829988
"NB2","QC",35,"108",-5.05239494701966
"ON","QC",35,"108",-6.25469493268227
"QC","QC",35,"108",-3.33668929509154
"IPU","AB",5,"109",-9.60337084228873
"IPU","IN",5,"109",-9.98607362778279
"IPU","IPU",5,"109",-11.8393621911168
"IPU","NB2",5,"109",-12.1043976777562
"IPU","ON",5,"109",-11.9290536234477
"IPU","QC",5,"109",-12.9086302358416
"NB2","AB",10,"109",-5.32815359114567
"ON","AB",10,"109",-5.17571541827286
"QC","AB",10,"109",-6.13415562304607
"NB2","IN",10,"109",-7.64710207138821
"ON","IN",10,"109",-6.50118815920316
"QC","IN",10,"109",-11.1753352931172
"NB2","IPU",10,"109",-4.9572049840573
"ON","IPU",10,"109",-4.36114910733114
"QC","IPU",10,"109",-5.73183326761354
"NB2","NB2",10,"109",-3.81458246925541
"ON","NB2",10,"109",-6.86571359975676
"QC","NB2",10,"109",-5.64580940572286
"NB2","ON",10,"109",-6.72630305600171
"ON","ON",10,"109",-3.37895514094778
"QC","ON",10,"109",-5.10688331158634
"NB2","QC",10,"109",-6.57048845774287
"ON","QC",10,"109",-7.18859136174756
"QC","QC",10,"109",-3.93783031947365
"IPU","AB",15,"109",-9.55632895731855
"IPU","IN",15,"109",-7.49522619599368
"IPU","IPU",15,"109",-6.63026430374194
"IPU","NB2",15,"109",-29.6811838950933
"IPU","ON",15,"109",-34.0648564645662
"IPU","QC",15,"109",-28.8882106253788
"IN","AB",20,"109",-4.97842448291888
"IPU","AB",20,"109",-5.77323305711012
"NB2","AB",20,"109",-5.27210618674471
"ON","AB",20,"109",-5.42226028127709
"QC","AB",20,"109",-5.53200624390285
"IN","IN",20,"109",-3.75315677865192
"IPU","IN",20,"109",-5.90176886492546
"NB2","IN",20,"109",-7.92180591791152
"ON","IN",20,"109",-10.3919187423702
"QC","IN",20,"109",-12.084122892703
"IN","IPU",20,"109",-3.46965378658221
"IPU","IPU",20,"109",-3.36511078281594
"NB2","IPU",20,"109",-4.57668213007199
"ON","IPU",20,"109",-4.37706985117347
"QC","IPU",20,"109",-5.13348679831222
"IN","NB2",20,"109",-7.32225220908216
"IPU","NB2",20,"109",-10.8226330804247
"NB2","NB2",20,"109",-4.3643141418015
"ON","NB2",20,"109",-5.47919506297871
"QC","NB2",20,"109",-5.53752544372531
"IN","ON",20,"109",-5.72394241530785
"IPU","ON",20,"109",-8.74578170911214
"NB2","ON",20,"109",-5.92591391738325
"ON","ON",20,"109",-3.44952226860109
"QC","ON",20,"109",-4.44053538274201
"IN","QC",20,"109",-6.96790040098909
"IPU","QC",20,"109",-10.6136598673526
"NB2","QC",20,"109",-6.97467106052393
"ON","QC",20,"109",-5.17383965698752
"QC","QC",20,"109",-3.44562230073298
"IPU","AB",25,"109",-3.51771789041133
"QC","AB",25,"109",-7.19535648423259
"IPU","IN",25,"109",-2.63651053820599
"QC","IN",25,"109",-10.9830511591151
"IPU","IPU",25,"109",-2.16140012366751
"QC","IPU",25,"109",-4.46767254878073
"IPU","NB2",25,"109",-11.4820411519779
"QC","NB2",25,"109",-6.30324646783529
"IPU","ON",25,"109",-9.59106051521678
"QC","ON",25,"109",-5.06037016481716
"IPU","QC",25,"109",-9.18055454704485
"QC","QC",25,"109",-6.74838649881171
"IN","AB",30,"109",-14.168481294674
"IPU","AB",30,"109",-5.81236329662963
"NB2","AB",30,"109",-6.17740504256226
"ON","AB",30,"109",-5.21512940728992
"QC","AB",30,"109",-6.761023898934
"IN","IN",30,"109",-10.6212396615512
"IPU","IN",30,"109",-3.76340759625267
"NB2","IN",30,"109",-10.674972841948
"ON","IN",30,"109",-5.67482595152013
"QC","IN",30,"109",-9.18578638042763
"IN","IPU",30,"109",-13.5817705103145
"IPU","IPU",30,"109",-3.56363658135855
"NB2","IPU",30,"109",-8.08154709513039
"ON","IPU",30,"109",-5.0139460126111
"QC","IPU",30,"109",-7.77636777295207
"IN","NB2",30,"109",-9.92249069806701
"IPU","NB2",30,"109",-11.9174513257816
"NB2","NB2",30,"109",-4.53976836102518
"ON","NB2",30,"109",-7.40097086151469
"QC","NB2",30,"109",-6.84500337682756
"IN","ON",30,"109",-11.5641554937732
"IPU","ON",30,"109",-11.2436890977488
"NB2","ON",30,"109",-5.22231357667816
"ON","ON",30,"109",-3.31225164799631
"QC","ON",30,"109",-7.46992839973835
"IN","QC",30,"109",-10.9450228771997
"IPU","QC",30,"109",-9.69038103321844
"NB2","QC",30,"109",-5.42775529220026
"ON","QC",30,"109",-6.50634681061895
"QC","QC",30,"109",-6.32092795184746
"ON","AB",35,"109",-5.32902828522259
"QC","AB",35,"109",-6.19707708174721
"ON","IN",35,"109",-6.01777942048174
"QC","IN",35,"109",-4.67408015578948
"ON","IPU",35,"109",-7.38748820655087
"QC","IPU",35,"109",-5.26527176618212
"ON","NB2",35,"109",-9.38104644897111
"QC","NB2",35,"109",-12.5186268524384
"ON","ON",35,"109",-3.92226566212808
"QC","ON",35,"109",-8.29470863413635
"ON","QC",35,"109",-6.34836825727745
"QC","QC",35,"109",-4.86791164238077
"IN","AB",5,"11",-6.82535727205237
"IPU","AB",5,"11",-4.97782842283339
"NB2","AB",5,"11",-5.40443935628852
"ON","AB",5,"11",-5.04757762739049
"QC","AB",5,"11",-5.17847420117255
"IN","IN",5,"11",-7.07522535340228
"IPU","IN",5,"11",-4.62744494358966
"NB2","IN",5,"11",-7.44358328008597
"ON","IN",5,"11",-6.18226126244179
"QC","IN",5,"11",-8.2730325939323
"IN","IPU",5,"11",-10.2619824666481
"IPU","IPU",5,"11",-3.49153003420679
"NB2","IPU",5,"11",-6.5822159469216
"ON","IPU",5,"11",-5.49229380209358
"QC","IPU",5,"11",-6.97958115468528
"IN","NB2",5,"11",-5.21169382145416
"IPU","NB2",5,"11",-8.19776598984028
"NB2","NB2",5,"11",-4.05183873844214
"ON","NB2",5,"11",-7.69988547877761
"QC","NB2",5,"11",-5.62364783312777
"IN","ON",5,"11",-4.99999599335602
"IPU","ON",5,"11",-7.52495172393367
"NB2","ON",5,"11",-5.91672099805205
"ON","ON",5,"11",-4.27559721211109
"QC","ON",5,"11",-5.37018005411601
"IN","QC",5,"11",-5.05750842529719
"IPU","QC",5,"11",-8.88700006123921
"NB2","QC",5,"11",-6.62918794286138
"ON","QC",5,"11",-8.53322695418476
"QC","QC",5,"11",-3.47762945663157
"AB","AB",10,"11",-4.50035916131852
"IN","AB",10,"11",-5.44433574766748
"IPU","AB",10,"11",-5.22352386674471
"NB2","AB",10,"11",-6.59923665045309
"ON","AB",10,"11",-5.47901863738166
"QC","AB",10,"11",-6.56053365277168
"AB","IN",10,"11",-11.1118988112266
"IN","IN",10,"11",-3.51146433782124
"IPU","IN",10,"11",-3.63674543763894
"NB2","IN",10,"11",-11.8434318599408
"ON","IN",10,"11",-7.35153502342292
"QC","IN",10,"11",-15.0113711825278
"AB","IPU",10,"11",-10.3663640175878
"IN","IPU",10,"11",-5.80987195868632
"IPU","IPU",10,"11",-3.05076375797503
"NB2","IPU",10,"11",-12.3708519055548
"ON","IPU",10,"11",-4.21145479610307
"QC","IPU",10,"11",-8.74873681023482
"AB","NB2",10,"11",-4.96538987325527
"IN","NB2",10,"11",-6.02451986285733
"IPU","NB2",10,"11",-10.6327601121402
"NB2","NB2",10,"11",-6.12797939814582
"ON","NB2",10,"11",-9.17009172344762
"QC","NB2",10,"11",-5.55545444272064
"AB","ON",10,"11",-5.641460607895
"IN","ON",10,"11",-6.09093598228189
"IPU","ON",10,"11",-13.8471844644803
"NB2","ON",10,"11",-8.86632720398267
"ON","ON",10,"11",-5.55447966832204
"QC","ON",10,"11",-5.4304214374475
"AB","QC",10,"11",-5.54251680419054
"IN","QC",10,"11",-6.36107716117805
"IPU","QC",10,"11",-11.5689853731371
"NB2","QC",10,"11",-8.36736187331935
"ON","QC",10,"11",-9.32205542722651
"QC","QC",10,"11",-4.83750214938289
"AB","AB",15,"11",-7.69937091891188
"IPU","AB",15,"11",-7.40141002291332
"NB2","AB",15,"11",-9.59182701615223
"ON","AB",15,"11",-9.18361016527311
"QC","AB",15,"11",-8.07385029136826
"AB","IN",15,"11",-8.839316860301
"IPU","IN",15,"11",-7.0313246218941
"NB2","IN",15,"11",-19.2340275508014
"ON","IN",15,"11",-14.676045360039
"QC","IN",15,"11",-14.9293356498581
"AB","IPU",15,"11",-14.8116467853907
"IPU","IPU",15,"11",-4.09728011542075
"NB2","IPU",15,"11",-16.7459698235058
"ON","IPU",15,"11",-10.8579093428835
"QC","IPU",15,"11",-15.5962563160673
"AB","NB2",15,"11",-13.4236708753579
"IPU","NB2",15,"11",-18.5613319963823
"NB2","NB2",15,"11",-6.5337333734632
"ON","NB2",15,"11",-7.79251343159143
"QC","NB2",15,"11",-7.67950099143171
"AB","ON",15,"11",-15.0427067639684
"IPU","ON",15,"11",-21.1780850272565
"NB2","ON",15,"11",-7.39352468945027
"ON","ON",15,"11",-5.74446311420765
"QC","ON",15,"11",-9.20433405805109
"AB","QC",15,"11",-11.6178138361664
"IPU","QC",15,"11",-19.9452455820812
"NB2","QC",15,"11",-6.36264552186089
"ON","QC",15,"11",-7.88816476997437
"QC","QC",15,"11",-4.94560757283509
"IN","AB",20,"11",-5.38876383235912
"IPU","AB",20,"11",-6.12534122234718
"NB2","AB",20,"11",-6.34985041479978
"ON","AB",20,"11",-5.59363069805421
"QC","AB",20,"11",-5.54414578114738
"IN","IN",20,"11",-3.61023320841256
"IPU","IN",20,"11",-4.2459382945985
"NB2","IN",20,"11",-14.0100399902812
"ON","IN",20,"11",-11.7838353871183
"QC","IN",20,"11",-6.21113759461862
"IN","IPU",20,"11",-4.56678932015487
"IPU","IPU",20,"11",-3.74002888943419
"NB2","IPU",20,"11",-5.61276738987405
"ON","IPU",20,"11",-5.77274459979311
"QC","IPU",20,"11",-4.14995624058063
"IN","NB2",20,"11",-8.64552086473816
"IPU","NB2",20,"11",-12.0362260308445
"NB2","NB2",20,"11",-4.36867969535358
"ON","NB2",20,"11",-5.45880448167293
"QC","NB2",20,"11",-8.95380388227929
"IN","ON",20,"11",-6.81876962784555
"IPU","ON",20,"11",-9.89989760528255
"NB2","ON",20,"11",-4.47057657368501
"ON","ON",20,"11",-4.3628879804456
"QC","ON",20,"11",-7.08354143035469
"IN","QC",20,"11",-8.15832385420936
"IPU","QC",20,"11",-11.6262000243205
"NB2","QC",20,"11",-4.99255282337046
"ON","QC",20,"11",-5.0535485182078
"QC","QC",20,"11",-4.55969760856492
"AB","AB",25,"11",-3.13026317172926
"IN","AB",25,"11",-6.27186827016012
"IPU","AB",25,"11",-3.55043316733984
"NB2","AB",25,"11",-4.92972005444118
"ON","AB",25,"11",-5.41799366227487
"QC","AB",25,"11",-11.728094111916
"AB","IN",25,"11",-5.95821178733251
"IN","IN",25,"11",-5.23492565554
"IPU","IN",25,"11",-3.80986534475006
"NB2","IN",25,"11",-12.2518848414024
"ON","IN",25,"11",-12.7888585627835
"QC","IN",25,"11",-24.1340625837164
"AB","IPU",25,"11",-4.11412014978341
"IN","IPU",25,"11",-5.11674709674169
"IPU","IPU",25,"11",-2.88383955716072
"NB2","IPU",25,"11",-4.73249631595588
"ON","IPU",25,"11",-7.08767116510145
"QC","IPU",25,"11",-9.96852199744496
"AB","NB2",25,"11",-4.90516957162953
"IN","NB2",25,"11",-5.31828352750768
"IPU","NB2",25,"11",-8.20576022031719
"NB2","NB2",25,"11",-2.3903004694984
"ON","NB2",25,"11",-3.48818885473226
"QC","NB2",25,"11",-6.57410609941091
"AB","ON",25,"11",-4.24704345310944
"IN","ON",25,"11",-5.3471333903161
"IPU","ON",25,"11",-6.6450344743932
"NB2","ON",25,"11",-3.21198192070578
"ON","ON",25,"11",-3.23179140437064
"QC","ON",25,"11",-6.54253620201316
"AB","QC",25,"11",-4.904202724799
"IN","QC",25,"11",-4.6708258772791
"IPU","QC",25,"11",-6.44832211191878
"NB2","QC",25,"11",-3.10467387888606
"ON","QC",25,"11",-3.25842862915336
"QC","QC",25,"11",-14.7308562229411
"AB","AB",30,"11",-6.96229448838609
"IN","AB",30,"11",-9.59558387948755
"IPU","AB",30,"11",-5.50624531102472
"NB2","AB",30,"11",-5.24673488923123
"ON","AB",30,"11",-5.39282974352399
"QC","AB",30,"11",-4.96181095053225
"AB","IN",30,"11",-11.129761933049
"IN","IN",30,"11",-7.52729460508872
"IPU","IN",30,"11",-3.34202015080049
"NB2","IN",30,"11",-4.01257562350413
"ON","IN",30,"11",-6.3067106479394
"QC","IN",30,"11",-4.69412930895659
"AB","IPU",30,"11",-6.80507661663092
"IN","IPU",30,"11",-10.4446961200943
"IPU","IPU",30,"11",-3.57341620800009
"NB2","IPU",30,"11",-4.10063993939287
"ON","IPU",30,"11",-5.0015529089388
"QC","IPU",30,"11",-4.91188859264197
"AB","NB2",30,"11",-5.45539495835509
"IN","NB2",30,"11",-6.0216107190442
"IPU","NB2",30,"11",-11.3424113905985
"NB2","NB2",30,"11",-4.49394126875438
"ON","NB2",30,"11",-8.09200840618566
"QC","NB2",30,"11",-6.73590008299228
"AB","ON",30,"11",-5.93706439347801
"IN","ON",30,"11",-6.71762013674361
"IPU","ON",30,"11",-9.97641789749721
"NB2","ON",30,"11",-7.42585935606116
"ON","ON",30,"11",-4.29760811962394
"QC","ON",30,"11",-5.87882321140931
"AB","QC",30,"11",-5.18118107373915
"IN","QC",30,"11",-6.03004604676801
"IPU","QC",30,"11",-9.4163720351091
"NB2","QC",30,"11",-6.93109743597859
"ON","QC",30,"11",-7.12617206995851
"QC","QC",30,"11",-3.37863166139527
"AB","AB",35,"11",-6.49755109443394
"IN","AB",35,"11",-6.71313947000666
"IPU","AB",35,"11",-9.29118525997901
"NB2","AB",35,"11",-8.39018379760492
"ON","AB",35,"11",-5.61476768987032
"QC","AB",35,"11",-9.65250447830695
"AB","IN",35,"11",-11.4208977290924
"IN","IN",35,"11",-4.94026522265675
"IPU","IN",35,"11",-14.2438084241144
"NB2","IN",35,"11",-13.0612768195801
"ON","IN",35,"11",-4.51451745372288
"QC","IN",35,"11",-11.3125528225716
"AB","IPU",35,"11",-13.6045632600188
"IN","IPU",35,"11",-7.87233607164378
"IPU","IPU",35,"11",-2.93532104633702
"NB2","IPU",35,"11",-10.7699867381451
"ON","IPU",35,"11",-6.24055158432144
"QC","IPU",35,"11",-12.1220364411362
"AB","NB2",35,"11",-6.38762133660854
"IN","NB2",35,"11",-9.09239561940148
"IPU","NB2",35,"11",-32.1271069024853
"NB2","NB2",35,"11",-6.09939120137996
"ON","NB2",35,"11",-9.69087423024249
"QC","NB2",35,"11",-7.64178796678114
"AB","ON",35,"11",-5.8449704443404
"IN","ON",35,"11",-6.70263554317925
"IPU","ON",35,"11",-15.5149243466841
"NB2","ON",35,"11",-6.85684974672824
"ON","ON",35,"11",-4.39165959703362
"QC","ON",35,"11",-7.46834454105696
"AB","QC",35,"11",-7.49258810354802
"IN","QC",35,"11",-6.63828645012066
"IPU","QC",35,"11",-15.2811520925103
"NB2","QC",35,"11",-6.11761854673037
"ON","QC",35,"11",-6.53392137478544
"QC","QC",35,"11",-8.47956197670722
"IPU","AB",5,"110",-5.2104495011887
"IPU","IN",5,"110",-4.40384274368461
"IPU","IPU",5,"110",-3.04480588249267
"IPU","NB2",5,"110",-10.1719625787441
"IPU","ON",5,"110",-9.47942970101706
"IPU","QC",5,"110",-11.0816042805079
"NB2","AB",10,"110",-5.81796859974797
"ON","AB",10,"110",-5.51197434117055
"QC","AB",10,"110",-5.73958965064755
"NB2","IN",10,"110",-11.209893445192
"ON","IN",10,"110",-8.83007958720351
"QC","IN",10,"110",-8.76297702103433
"NB2","IPU",10,"110",-7.02865019129707
"ON","IPU",10,"110",-5.8096923099455
"QC","IPU",10,"110",-7.83407625191359
"NB2","NB2",10,"110",-3.95017008882485
"ON","NB2",10,"110",-5.61542028860822
"QC","NB2",10,"110",-6.28258329685087
"NB2","ON",10,"110",-5.55138457480298
"ON","ON",10,"110",-3.14300859704368
"QC","ON",10,"110",-6.93275476043452
"NB2","QC",10,"110",-5.29257294411383
"ON","QC",10,"110",-5.92013426790207
"QC","QC",10,"110",-3.80748480513602
"IPU","AB",15,"110",-8.73544302273732
"IPU","IN",15,"110",-6.6089983565071
"IPU","IPU",15,"110",-4.83588985801472
"IPU","NB2",15,"110",-26.9964246227167
"IPU","ON",15,"110",-31.1890317011764
"IPU","QC",15,"110",-27.424040405484
"IN","AB",20,"110",-5.29184448252279
"IPU","AB",20,"110",-6.35442849830992
"NB2","AB",20,"110",-5.62159436914973
"ON","AB",20,"110",-6.99006183396481
"QC","AB",20,"110",-5.94009087700676
"IN","IN",20,"110",-3.4604039009744
"IPU","IN",20,"110",-3.93656956490534
"NB2","IN",20,"110",-11.5578952129828
"ON","IN",20,"110",-13.1400773374795
"QC","IN",20,"110",-12.5633514242453
"IN","IPU",20,"110",-4.2924787044983
"IPU","IPU",20,"110",-3.46608953893648
"NB2","IPU",20,"110",-5.83118093099872
"ON","IPU",20,"110",-10.6717661324912
"QC","IPU",20,"110",-6.04543292128183
"IN","NB2",20,"110",-7.29646145014607
"IPU","NB2",20,"110",-13.9050552289898
"NB2","NB2",20,"110",-3.59643661103529
"ON","NB2",20,"110",-8.26111720384151
"QC","NB2",20,"110",-5.05943031286199
"IN","ON",20,"110",-5.74109185846983
"IPU","ON",20,"110",-11.56213788404
"NB2","ON",20,"110",-4.30448646749513
"ON","ON",20,"110",-6.26674519192926
"QC","ON",20,"110",-4.1703215688067
"IN","QC",20,"110",-6.82853560260167
"IPU","QC",20,"110",-13.5620203874955
"NB2","QC",20,"110",-4.98553188357508
"ON","QC",20,"110",-7.78183717057592
"QC","QC",20,"110",-3.54668140523276
"IPU","AB",25,"110",-6.07199908391188
"QC","AB",25,"110",-5.42734651092613
"IPU","IN",25,"110",-18.3068971533321
"QC","IN",25,"110",-10.2606477161945
"IPU","IPU",25,"110",-11.8837096676457
"QC","IPU",25,"110",-5.225732081739
"IPU","NB2",25,"110",-6.68179644406965
"QC","NB2",25,"110",-4.77733895124847
"IPU","ON",25,"110",-7.05980997187183
"QC","ON",25,"110",-3.89779051899255
"IPU","QC",25,"110",-6.66283206954979
"QC","QC",25,"110",-3.22324696767443
"IN","AB",30,"110",-7.65179529086123
"IPU","AB",30,"110",-6.77457307526783
"NB2","AB",30,"110",-5.9637553871039
"ON","AB",30,"110",-5.14622300638959
"QC","AB",30,"110",-5.00699165975204
"IN","IN",30,"110",-5.77206567079221
"IPU","IN",30,"110",-5.60255684709887
"NB2","IN",30,"110",-9.62481634075227
"ON","IN",30,"110",-5.72877530733646
"QC","IN",30,"110",-6.20458151644506
"IN","IPU",30,"110",-6.81172752474834
"IPU","IPU",30,"110",-5.99790760040105
"NB2","IPU",30,"110",-8.28812453400742
"ON","IPU",30,"110",-4.57425378300937
"QC","IPU",30,"110",-3.60011412732909
"IN","NB2",30,"110",-6.90405185146931
"IPU","NB2",30,"110",-13.9904747595517
"NB2","NB2",30,"110",-4.79962594563336
"ON","NB2",30,"110",-7.0264160155051
"QC","NB2",30,"110",-5.29273630722182
"IN","ON",30,"110",-7.08222738388484
"IPU","ON",30,"110",-12.3319961861193
"NB2","ON",30,"110",-6.02768633529461
"ON","ON",30,"110",-3.35231160046145
"QC","ON",30,"110",-4.31358103186551
"IN","QC",30,"110",-6.53630265269641
"IPU","QC",30,"110",-11.9085907421017
