"prov.orig","prov.comp","temp","cup","elpd"
"IPU","ON",20,"1",-8.39249174871603
"NB2","ON",20,"1",-5.9402043032717
"ON","ON",20,"1",-3.71069985107848
"QC","ON",20,"1",-4.94739298742097
"AB","QC",20,"1",-6.12294101712888
"IN","QC",20,"1",-4.86927347486372
"IPU","QC",20,"1",-10.2217464769538
"NB2","QC",20,"1",-6.8306279609401
"ON","QC",20,"1",-6.85183605287542
"QC","QC",20,"1",-5.09189434970258
"AB","AB",25,"1",-3.16859409588046
"IN","AB",25,"1",-10.7893390933526
"IPU","AB",25,"1",-3.42276643424965
"NB2","AB",25,"1",-5.22845046922153
"ON","AB",25,"1",-7.56608608282336
"QC","AB",25,"1",-5.94325250075521
"AB","IN",25,"1",-7.74925950748988
"IN","IN",25,"1",-8.13428686311284
"IPU","IN",25,"1",-3.00068572850785
"NB2","IN",25,"1",-14.7185876360019
"ON","IN",25,"1",-12.7970866937538
"QC","IN",25,"1",-9.57117022600116
"AB","IPU",25,"1",-7.56576226698508
"IN","IPU",25,"1",-7.79193704676122
"IPU","IPU",25,"1",-1.76751325567798
"NB2","IPU",25,"1",-7.17800214447283
"ON","IPU",25,"1",-5.53938963998334
"QC","IPU",25,"1",-5.6231732182326
"AB","NB2",25,"1",-9.97914536180349
"IN","NB2",25,"1",-9.99033975089215
"IPU","NB2",25,"1",-11.5927388580918
"NB2","NB2",25,"1",-2.98410459206379
"ON","NB2",25,"1",-7.60422433987392
"QC","NB2",25,"1",-5.71849232270153
"AB","ON",25,"1",-9.13709404204721
"IN","ON",25,"1",-8.51094202983361
"IPU","ON",25,"1",-10.6254684015002
"NB2","ON",25,"1",-3.59909199511258
"ON","ON",25,"1",-7.00591824563384
"QC","ON",25,"1",-4.5785392369876
"AB","QC",25,"1",-10.366542633928
"IN","QC",25,"1",-9.11235882732626
"IPU","QC",25,"1",-9.85001927154293
"NB2","QC",25,"1",-3.6047166847205
"ON","QC",25,"1",-6.80702754012815
"QC","QC",25,"1",-4.39535241142801
"AB","AB",30,"1",-5.10614268430249
"IN","AB",30,"1",-7.9994930446372
"IPU","AB",30,"1",-5.6176127668936
"NB2","AB",30,"1",-5.74981350453969
"ON","AB",30,"1",-5.40036387804712
"QC","AB",30,"1",-4.94198216742664
"AB","IN",30,"1",-7.04820605586177
"IN","IN",30,"1",-6.42782477633349
"IPU","IN",30,"1",-7.49600429939722
"NB2","IN",30,"1",-6.17123995966827
"ON","IN",30,"1",-6.55290946041685
"QC","IN",30,"1",-6.29757205251694
"AB","IPU",30,"1",-7.02398868858934
"IN","IPU",30,"1",-9.39199773743937
"IPU","IPU",30,"1",-9.38980194602732
"NB2","IPU",30,"1",-4.61820561125545
"ON","IPU",30,"1",-4.69178854603039
"QC","IPU",30,"1",-4.73994193440266
"AB","NB2",30,"1",-5.9144959395516
"IN","NB2",30,"1",-5.480082306905
"IPU","NB2",30,"1",-6.10064131641354
"NB2","NB2",30,"1",-4.84490008498814
"ON","NB2",30,"1",-6.37859746206574
"QC","NB2",30,"1",-5.73881553936434
"AB","ON",30,"1",-4.75821661999272
"IN","ON",30,"1",-5.72235376910592
"IPU","ON",30,"1",-5.97316276963826
"NB2","ON",30,"1",-6.14294454600782
"ON","ON",30,"1",-3.60538670548531
"QC","ON",30,"1",-4.79425097810529
"AB","QC",30,"1",-6.2818798867419
"IN","QC",30,"1",-5.45531849360801
"IPU","QC",30,"1",-5.92938100936082
"NB2","QC",30,"1",-6.06082193244857
"ON","QC",30,"1",-5.54247560442565
"QC","QC",30,"1",-3.59364724279823
"AB","AB",35,"1",-9.86681737716448
"IN","AB",35,"1",-10.3269969667195
"IPU","AB",35,"1",-8.50783313687906
"NB2","AB",35,"1",-6.09593959324093
"ON","AB",35,"1",-5.35728086444139
"QC","AB",35,"1",-5.53219408773971
"AB","IN",35,"1",-13.1251202182059
"IN","IN",35,"1",-9.93345095798114
"IPU","IN",35,"1",-12.7976372927144
"NB2","IN",35,"1",-8.25550870615992
"ON","IN",35,"1",-5.45052614099128
"QC","IN",35,"1",-3.80275499546252
"AB","IPU",35,"1",-10.6148898680398
"IN","IPU",35,"1",-11.2020108195799
"IPU","IPU",35,"1",-5.1101834394295
"NB2","IPU",35,"1",-8.90284557142785
"ON","IPU",35,"1",-6.36390738510954
"QC","IPU",35,"1",-4.96479251285495
"AB","NB2",35,"1",-8.13130172722151
"IN","NB2",35,"1",-13.1561144648135
"IPU","NB2",35,"1",-28.0801912598322
"NB2","NB2",35,"1",-3.40837574562691
"ON","NB2",35,"1",-6.89877979451075
"QC","NB2",35,"1",-10.5607149551183
"AB","ON",35,"1",-7.85333971960888
"IN","ON",35,"1",-10.5459090370791
"IPU","ON",35,"1",-15.2704225697203
"NB2","ON",35,"1",-4.15834503034994
"ON","ON",35,"1",-4.13535781105129
"QC","ON",35,"1",-6.64805316351538
"AB","QC",35,"1",-9.71275966135372
"IN","QC",35,"1",-10.3725249601003
"IPU","QC",35,"1",-15.5315107117728
"NB2","QC",35,"1",-4.36694864857563
"ON","QC",35,"1",-4.83331747721815
"QC","QC",35,"1",-3.63570983297332
"IN","AB",5,"10",-6.2230855870157
"IPU","AB",5,"10",-5.24355356978737
"NB2","AB",5,"10",-6.3827958329428
"ON","AB",5,"10",-5.41994996269685
"QC","AB",5,"10",-8.00807855150952
"IN","IN",5,"10",-6.15798892239813
"IPU","IN",5,"10",-5.14787171830536
"NB2","IN",5,"10",-13.7653001822937
"ON","IN",5,"10",-10.238156893054
"QC","IN",5,"10",-10.6811950363045
"IN","IPU",5,"10",-10.804924924896
"IPU","IPU",5,"10",-4.03989032697549
"NB2","IPU",5,"10",-8.3310228514987
"ON","IPU",5,"10",-7.92809362869531
"QC","IPU",5,"10",-8.99853861609318
"IN","NB2",5,"10",-6.8545026932944
"IPU","NB2",5,"10",-8.1895105955754
"NB2","NB2",5,"10",-5.82615207190898
"ON","NB2",5,"10",-5.45131461299653
"QC","NB2",5,"10",-7.54908626288102
"IN","ON",5,"10",-6.91831581393678
"IPU","ON",5,"10",-7.53048929698036
"NB2","ON",5,"10",-4.5542025377399
"ON","ON",5,"10",-4.44084434762912
"QC","ON",5,"10",-7.41818132036374
"IN","QC",5,"10",-7.29888294050036
"IPU","QC",5,"10",-8.84048383788645
"NB2","QC",5,"10",-4.82436980869143
"ON","QC",5,"10",-5.68348541271668
"QC","QC",5,"10",-6.76610986672855
"AB","AB",10,"10",-4.0890841400673
"IN","AB",10,"10",-5.72479695468836
"IPU","AB",10,"10",-7.44755256596674
"NB2","AB",10,"10",-5.73703849364131
"ON","AB",10,"10",-7.77590580974823
"QC","AB",10,"10",-5.5022113219971
